Point Name,Latitude,Longitude,Ellipsoidal Height,Code,North,East,Height,Antenna Height,Solution,UTC Start Time,UTC End Time,Local Time,SD to Base,HD to Base,Diff. Age,HRMS,VRMS,PDOP,SAT Tracking,SAT Visible,Antenna Type,Input Antenna Height,Average Times,Ellipsoid Height,HD to Last,Total HD,SD to Last,Total SD,H Diff. from Last Pt,Tracking SAT Details,Base ID,Base Lat,Base Lon,Base Ellipsoid Height,Offset Dist.,Distance Target Point Dz,Chainage,Stake Chainage,Stake Height,Stake Designed H,Stake Designed H Diff,Tilt Survey,TPI,Point ID,Point Type Identifier,Point Type
Pt1,7°18′19.0837″,3°30′47.8553″,162.952,,807531.328,556656.846,162.952,1.299,Single,2026-04-23 09:01:03,2026-04-23 09:01:03,2026-04-23 10:01:03,0.000,0.000,99,0.192,0.544,0.94,33,35,Pole Height,1.220,1,164.251,0.000,0.000,0.000,0.000,0.000,G10+R5+C10+E8,0,0°00′00.0000″,0°00′00.0000″,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,1,0,Survey Point
Pt2,7°18′16.1860″,3°30′52.3526″,171.377,,807442.499,556794.842,171.377,1.299,Fixed,2026-04-23 09:03:29,2026-04-23 09:03:29,2026-04-23 10:03:29,26350.094,26349.430,1,0.004,0.007,0.91,32,32,Pole Height,1.220,1,172.675,164.114,164.114,164.330,164.330,-8.424,G10+R5+C8+E9,0,7°08′36.8700″,3°20′18.9618″,94.3196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,2,0,Survey Point
Pt3,7°18′15.0825″,3°30′54.0521″,174.613,,807408.672,556846.990,174.613,1.299,Fixed,2026-04-23 09:04:38,2026-04-23 09:04:38,2026-04-23 10:04:38,26365.736,26365.057,4,0.003,0.004,0.91,31,32,Pole Height,1.220,1,175.911,62.159,226.273,62.243,226.573,-3.236,G10+R5+C7+E9,0,7°08′36.8700″,3°20′18.9618″,94.3196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,3,0,Survey Point
Pt4,7°18′13.3321″,3°30′55.4924″,177.673,,807354.971,556891.214,177.673,1.299,Fixed,2026-04-23 09:06:12,2026-04-23 09:06:12,2026-04-23 10:06:12,26362.277,26361.582,21,0.003,0.004,0.91,32,32,Pole Height,1.220,1,178.972,69.566,295.839,69.634,296.207,-3.061,G10+R5+C8+E9,0,7°08′36.8700″,3°20′18.9618″,94.3196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,4,0,Survey Point
Pt5,7°18′10.2324″,3°30′56.1242″,175.780,,807259.803,556910.694,175.780,1.299,Single,2026-04-23 09:07:52,2026-04-23 09:07:52,2026-04-23 10:07:52,26312.803,26312.117,1,0.127,0.429,0.91,33,34,Pole Height,1.220,1,177.079,97.142,392.981,97.160,393.367,1.893,G10+R6+C8+E9,0,7°08′36.8700″,3°20′18.9618″,94.3196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,5,0,Survey Point
pt001,7°18′22.9137″,3°31′01.1018″,169.526,,807649.407,557062.870,169.526,1.299,Fixed,2026-05-19 11:47:14,2026-05-19 11:47:14,2026-05-19 12:47:14,5.122,4.934,2,0.003,0.004,1.05,29,32,Pole Height,1.220,1,170.825,418.269,811.250,418.316,811.682,6.254,G8+R4+C8+E9,492,7°18′22.7820″,3°31′01.0096″,170.8979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,6,0,Survey Point
pt002,7°18′26.6862″,3°31′01.8036″,167.757,,807765.283,557084.257,167.757,1.299,Fixed,2026-05-19 11:51:19,2026-05-19 11:51:19,2026-05-19 12:51:19,122.429,122.386,1,0.003,0.003,0.96,34,35,Pole Height,1.220,1,169.055,117.834,929.083,117.847,929.529,1.770,G9+R6+C10+E9,492,7°18′22.7820″,3°31′01.0096″,170.8979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,7,0,Survey Point
pt003,7°18′28.7441″,3°31′04.4234″,169.097,,807828.570,557164.509,169.097,1.299,Fixed,2026-05-19 11:53:10,2026-05-19 11:53:10,2026-05-19 12:53:10,210.987,210.973,2,0.003,0.003,0.96,35,36,Pole Height,1.220,1,170.396,102.204,1031.287,102.213,1031.742,-1.340,G10+R6+C10+E9,492,7°18′22.7820″,3°31′01.0096″,170.8979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,8,0,Survey Point
pt003,7°18′28.7439″,3°31′04.4220″,169.101,,807828.566,557164.466,169.101,1.299,Fixed,2026-05-19 11:53:25,2026-05-19 11:53:25,2026-05-19 12:53:25,210.961,210.948,1,0.003,0.003,0.95,35,36,Pole Height,1.220,1,170.400,0.044,1031.331,0.044,1031.786,-0.004,G10+R6+C10+E9,492,7°18′22.7820″,3°31′01.0096″,170.8979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,9,0,Survey Point
pt004,7°18′31.4998″,3°31′08.4642″,164.610,,807913.339,557288.311,164.610,1.299,Fixed,2026-05-19 11:56:01,2026-05-19 11:56:01,2026-05-19 12:56:01,352.209,352.144,1,0.003,0.004,0.95,34,35,Pole Height,1.220,1,165.909,150.080,1181.412,150.148,1181.934,4.491,G9+R6+C10+E9,492,7°18′22.7820″,3°31′01.0096″,170.8979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,No,10,0,Survey Point
