Point Name,Latitude,Longitude,Ellipsoidal Height,Code,North,East,Height,Antenna Height,Solution,UTC Start Time,UTC End Time,Local Time,SD to Base,HD to Base,Diff. Age,HRMS,VRMS,PDOP,SAT Tracking,SAT Visible,Antenna Type,Input Antenna Height,Average Times,Ellipsoid Height,HD to Last,Total HD,SD to Last,Total SD,Height Diff. from Last Point,Tracking SAT Details,Base ID,Base Lat,Base Lon,Base Ellipsoid Height,Offset Dist.,Chainage,Stake Chainage,Stake Height,Stake Designed H,Stake Designed H Diff,Tilt Survey,TPI,Point ID,Point Type
base,0.0,-1.29194780,0.000,,0.000,0.000,0.000,0.000,NONE,2026-08-21 09:37:38,2026-08-21 09:37:38,2026-08-21 17:37:38,0.000,0.000,99,0.0,0.0,0.0,0,0,Pole Height,0.000,1,0.000,0.000,0.000,0.000,0.000,0.000,,,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,No,No,1,1
basf,0.0,-1.29194780,0.000,,0.000,0.000,0.000,0.000,NONE,2026-08-21 09:37:39,2026-08-21 09:37:39,2026-08-21 17:37:39,0.000,0.000,99,0.0,0.0,0.0,0,0,Pole Height,0.000,1,0.000,0.000,0.000,0.000,0.000,0.000,,,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,No,No,2,1
PT02,7.18104137,3.31205926,184.090,,807266.236,557660.935,184.090,2.078,Fixed,2026-08-21 09:51:04,2026-08-21 09:51:04,2026-08-21 17:51:04,439.252,439.237,1,0.0028284271,0.0035,0.87,39,39,Pole Height,2.000,1,186.168,981154.674,981154.674,981154.692,981154.692,-184.090,G11+R7+C12+E9,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,3,0
PT03,7.18099585,3.31231895,179.138,,807252.349,557740.578,179.138,2.078,Fixed,2026-08-21 09:52:57,2026-08-21 09:52:57,2026-08-21 17:52:57,397.835,397.809,1,0.0028284271,0.0037,0.88,35,36,Pole Height,2.000,1,181.217,80.844,981235.519,80.996,981235.687,4.951,G10+R7+C9+E9,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,4,0
PT04,7.18102049,3.31255208,176.655,,807259.999,557812.049,176.655,2.078,Fixed,2026-08-21 09:55:04,2026-08-21 09:55:04,2026-08-21 17:55:04,391.920,391.864,1,0.0026870058,0.0035,0.92,33,35,Pole Height,2.000,1,178.733,71.880,981307.398,71.923,981307.610,2.484,G10+R7+C8+E8,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,5,0
RDP01,7.18119632,3.31190088,182.700,,807313.763,557612.317,182.700,2.078,Fixed,2026-08-21 10:04:40,2026-08-21 10:04:40,2026-08-21 18:04:40,503.672,503.657,1,0.0029698485,0.0039,0.92,35,35,Pole Height,2.000,1,184.778,206.842,981514.240,206.930,981514.540,-6.045,G10+R7+C9+E9,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,6,0
RDP02,7.18116927,3.31191279,182.812,,807305.459,557615.978,182.812,2.078,Fixed,2026-08-21 10:05:36,2026-08-21 10:05:36,2026-08-21 18:05:36,494.622,494.607,1,0.0026870058,0.0035,0.97,36,36,Pole Height,2.000,1,184.890,9.074,981523.314,9.075,981523.615,-0.112,G10+R7+C11+E8,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,7,0
PT05,7.18132711,3.31236151,175.756,,807354.090,557753.510,175.756,2.078,Fixed,2026-08-21 10:09:33,2026-08-21 10:09:33,2026-08-21 18:09:33,493.780,493.719,1,0.0035355338,0.0047,1.06,31,34,Pole Height,2.000,1,177.835,145.876,981669.191,146.047,981669.662,7.055,G9+R7+C7+E8,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,8,0
PT06,7.18164927,3.31345033,161.236,,807453.412,558087.246,161.236,2.078,Fixed,2026-08-21 10:19:28,2026-08-21 10:19:28,2026-08-21 18:19:28,630.091,629.712,1,0.0029698485,0.004,0.94,34,35,Pole Height,2.000,1,163.314,348.202,982017.393,348.505,982018.167,14.520,G10+R7+C9+E8,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,10,0
ST01,7.18165830,3.31346381,160.598,,807456.190,558091.374,160.598,2.078,Fixed,2026-08-21 10:20:00,2026-08-21 10:20:00,2026-08-21 18:20:00,634.245,633.846,1,0.0026870058,0.0035,0.92,34,35,Pole Height,2.000,1,162.676,4.976,982022.369,5.017,982023.184,0.638,G10+R7+C9+E8,440,7.17575090,3.31267584,182.5869,0.000,0.000,0.000,0.000,0.000,0.000,No,No,11,0
